Trial No.,Attended Speaker,Device-1,Device-2,Device-3,Question,Answer,Option-1,Option-2,Option-3,SNR,Device-1 Left Power,Device-1 Right Power,Device-2 Left Power,Device-2 Right Power,Device-3 Left Power,Device-3 Right Power
Training-1,1,Practice_17_345.flac,Practice_278_54.flac,Practice_Noise_505_527.flac,What does the creature demand?,A female companion.,Shelter with cottagers.,To be destroyed.,Guidance to live peacefully.,8,0.02790733657276760,0.0011521514564345100,0.0032001454495921900,0.0009170918154607840,0.00021537215206966100,9.04053582674048E-05
Training-2,2,Practice_205_409.flac,Practice_353_439.flac,Practice_Noise_506_526.flac,What is the focus of the speech?,Balancing individuality and society.,Ensuring equality.,Government’s role.,Individual duties.,16,0.0031444367422159600,0.4358283272384590,0.007402060113789050,0.0030518019837424300,0.00034029450576053900,0.00015335601328600500
Training-3,3,Practice_210_464.flac,Practice_369_475.flac,Practice_Noise_507_575.flac,What happens to Pinocchio?,"He comforts Geppetto, who is shivering.",He saves Geppetto from drowning.,He becomes a real boy.,He discovers land while swimming.,11,0.000908312843827298,0.0015917053791907800,0.0370432845132305,0.0019664888085661600,0.0002987288442789580,0.0001437056122813370
Training-4,4,Practice_246_362.flac,Practice_451_70.flac,Practice_Noise_574_640.flac,"What is ""The Lion's Den”?",A section of the prison for the most dangerous prisoners.,A courtroom for dangerous criminals.,A meeting place for prisoners to plan escapes.,A jail cell with softer treatment.,11,0.0018800709926600900,0.002855471405268570,0.00017756473891398200,0.0611491478611535,0.00011633637404884200,5.37069556691373E-06
Training-5,3,Practice_272_373.flac,Practice_459_480.flac,Practice_Noise_637_638.flac,What does the caterpillar ask Alice?,Who she is.,Why she is silent.,What she wants.,Where she is going.,12,0.0006631813363987020,0.003874443686765150,0.07334182743984390,0.0016700130939018000,7.36560030297066E-05,1.62754418832871E-05
1,1,6637_4806.flac,4013_3171.flac,noise_431_497.flac,What did Raymond insist on providing for the person he was assisting?,Air,Food,Money,A banquet,10,0.050796220194257300,0.002875487531240410,0.002334663915267450,0.002309146651883690,0.000206071816807768,0.0002297396354668310
2,2,2570_7339.flac,6510_5809.flac,noise_189_453.flac,What caused the rapid desertion of the mansion?,The unexpected appearance of the Brigade of soldiers and the disclosure that followed.,A wishing carpet incident.,Fear of an attack from the convicts.,Spending the night in dangerous territory.,11,0.0013923838263591000,0.1515395209435150,0.005919576816159920,0.005957286960392960,2.20506108521173E-05,0.00013829762879759100
3,3,8183_7445.flac,2741_3114.flac,noise_797_520.flac,How many sons did the king have?,11 sons,2 sons,5 sons,8 sons,14,0.003562693436294410,0.0062669087468724100,0.2529996831779920,0.0024616526732958500,0.00014454874170284400,9.79478772225169E-05
4,4,2348_3852.flac,8887_1800.flac,noise_375_350.flac,What should the owner of horses ensure for their well-being?,"They should be well housed, well fed, and well-groomed.",They should be kept in a villa at Posilipo.,They should enter on a career of social and industrial development.,They should be lifted on shoulders by an enthusiastic crowd.,10,0.0017536926973649900,0.0034641438292863300,0.0033568150825662700,0.05600770278758140,6.73679720067109E-05,0.0003155657801001020
5,1,2294_815.flac,7802_3638.flac,noise_735_592.flac,What did the narrator conclude upon waking up in familiar surroundings?,"The events were real, as indicated by the strain on their wrist and the taste of wine.",The youth was worried about the ridicule from his comrades.,"The houses were deserted, and snow witches were dancing in a circle.",An old retired military man was drinking tea in a tavern.,6,0.01809260495807520,0.013606182082282600,0.003573216986237090,0.0009207239066211820,2.75663506162042E-05,2.31496470107231E-05
