Trial No.,Attended Speaker,-67.5 Stimuli,-22.5 Stimuli,22.5 Stimuli,67.5 Stimuli,-135 Stimuli,135 Stimuli,-67.5 Power,-22.5 Power,22.5 Power,67.5 Power,-135 Power,135 Power,SNR,Question,Answer,Option-1,Option-2,Option-3
Training-1,-67.5,Practice_17.flac,Practice_345.flac,Practice_278.flac,Practice_54.flac,Practice_Noise_505.flac,Practice_Noise_527.flac,0.4423014775390035,0.0011521514564345,0.0032001454495921,0.0009170918154607,0.0002153721520696,9.040535826740476e-05,20,What does the creature demand?,A female companion.,Shelter with cottagers.,To be destroyed.,Guidance to live peacefully.
Training-2,-22.5,Practice_205.flac,Practice_409.flac,Practice_353.flac,Practice_439.flac,Practice_Noise_506.flac,Practice_Noise_526.flac,0.0031444367422159,1.0947512616578023,0.007402060113789,0.0030518019837424,0.0003402945057605,0.000153356013286,20,What is the focus of the speech?,Balancing individuality and society.,Ensuring equality.,Government’s role.,Individual duties.
Training-3,22.5,Practice_210.flac,Practice_464.flac,Practice_369.flac,Practice_475.flac,Practice_Noise_507.flac,Practice_Noise_575.flac,0.0009083128438272,0.0015917053791907,0.0370432845132305,0.0019664888085661,0.0002987288442789,0.0001437056122813,11,What happens to Pinocchio?,"He comforts Geppetto, who is shivering.",He saves Geppetto from drowning.,He becomes a real boy.,He discovers land while swimming.
Training-4,67.5,Practice_246.flac,Practice_362.flac,Practice_451.flac,Practice_70.flac,Practice_Noise_574.flac,Practice_Noise_640.flac,0.00188007099266,0.0028554714052685,0.0001775647389139,0.3858250395170012,0.0001163363740488,5.370695566913734e-06,19,"What is ""The Lion's Den”?",A section of the prison for the most dangerous prisoners.,A courtroom for dangerous criminals.,A meeting place for prisoners to plan escapes.,A jail cell with softer treatment.
Training-5,22.5,Practice_272.flac,Practice_373.flac,Practice_459.flac,Practice_480.flac,Practice_Noise_637.flac,Practice_Noise_638.flac,0.0006631813363987,0.0038744436867651,0.0733418274398438,0.0016700130939017,7.365600302970657e-05,1.627544188328708e-05,12,What does the caterpillar ask Alice?,Who she is.,Why she is silent.,What she wants.,Where she is going.
1,-67.5,6637.flac,4806.flac,4013.flac,3171.flac,noise_431.flac,noise_497.flac,0.0805065835886341,0.0028754875312404,0.0023346639152674,0.0023091466518836,0.0002060718168077,0.0002297396354668,12,What did Raymond insist on providing for the person he was assisting?,Air,Food,Money,A banquet
2,-22.5,2570.flac,7339.flac,6510.flac,5809.flac,noise_189.flac,noise_453.flac,0.001392383826359,0.759496732868825,0.0059195768161599,0.0059572869603929,2.205061085211734e-05,0.0001382976287975,18,What caused the rapid desertion of the mansion?,The unexpected appearance of the Brigade of soldiers and the disclosure that followed.,A wishing carpet incident.,Fear of an attack from the convicts.,Spending the night in dangerous territory.
3,22.5,8183.flac,7445.flac,2741.flac,3114.flac,noise_797.flac,noise_520.flac,0.0035626934362944,0.0062669087468724,0.1007209880209217,0.0024616526732958,0.0001445487417028,9.794787722251688e-05,10,How many sons did the king have?,11 sons,2 sons,5 sons,8 sons
4,67.5,2348.flac,3852.flac,8887.flac,1800.flac,noise_375.flac,noise_350.flac,0.0017536926973649,0.0034641438292863,0.0033568150825662,0.1771119073225187,6.736797200671087e-05,0.0003155657801001,15,What should the owner of horses ensure for their well-being?,"They should be well housed, well fed, and well-groomed.",They should be kept in a villa at Posilipo.,They should enter on a career of social and industrial development.,They should be lifted on shoulders by an enthusiastic crowd.
5,-67.5,2294.flac,815.flac,7802.flac,3638.flac,noise_735.flac,noise_592.flac,0.0572138404731728,0.0136061820822826,0.003573216986237,0.0009207239066211,2.756635061620424e-05,2.314964701072313e-05,11,What did the narrator conclude upon waking up in familiar surroundings?,"The events were real, as indicated by the strain on their wrist and the taste of wine.",The youth was worried about the ridicule from his comrades.,"The houses were deserted, and snow witches were dancing in a circle.",An old retired military man was drinking tea in a tavern.
6,-22.5,7833.flac,1535.flac,6956.flac,7868.flac,noise_445.flac,noise_168.flac,0.0048103307469146,0.2018356462687115,0.0038223542050962,0.0057913845461657,0.0004683853127566,3.36208560601032e-05,13,What activity were the Indian men engaged in during the hunting season?,Waiting waist deep amid the wild rice with bows and arrows.,Making down pillows inside their wigwams.,Roasting wild duck.,Wrapping red porcupine quills about the long fringes of a buckskin cushion.
7,22.5,6014.flac,7241.flac,3979.flac,6763.flac,noise_791.flac,noise_519.flac,0.0048141103947806,0.0060178199610129,0.1487393374709711,0.0125092245850421,0.0005736885569446,0.0004091666239992,11,Who did the princess and Prince Ramon claim to be when speaking to the sultan?,Sons of the sultan's late intendant of the gardens.,Captain Lake's colleagues.,Students of the old enchanter.,Guests from Genoa.
8,67.5,718.flac,770.flac,8684.flac,2787.flac,noise_472.flac,noise_605.flac,0.001076994772756,0.0030784569594485,0.003593067689562,0.222492986425159,0.0002241302496831,5.9736729702369e-05,17,What did the man admire?,Everything he saw,The farmhouse kitchen,The tropical afternoon,The sound of ancient prophecy of Doom
9,-67.5,157.flac,5570.flac,6167.flac,6828.flac,noise_463.flac,noise_283.flac,0.9589912715907364,0.0041106757449995,0.0048044319278269,0.0046086798287695,0.0001153228329203,6.147812639052669e-05,20,Why is every Fortune considered good fortune?,Because it is either just or useful.,Because it brings wealth and happiness.,Because it is a sign of divine favor.,Because it is always unexpected and surprising.
10,-22.5,7881.flac,176.flac,1639.flac,209.flac,noise_367.flac,noise_710.flac,0.0036200561877592,0.0689352196374131,0.0036749826689774,0.0016637562271576,7.044728486216627e-05,6.653295149444602e-05,11,What time did the daylight wake the characters?,8 in the morning,noon,midnight,late afternoon
11,22.5,5935.flac,4734.flac,4278.flac,1382.flac,noise_745.flac,noise_325.flac,0.0035896068368553,0.0043279279599742,0.1589518663043121,0.0053169792499102,1.6824507884060342e-05,3.210531058139168e-05,13,How long has it been since Dr. Bruce delivered his message about new discipleship at Nazareth Avenue Church?,3 months,6 months,1 year,2 weeks
12,67.5,6492.flac,7286.flac,6119.flac,4257.flac,noise_288.flac,noise_440.flac,0.0050510213981595,0.0041152468553763,0.0027525703531709,0.1171571584529157,5.339110886561684e-05,8.646452352016543e-05,11,Who did Captain Mitchell take pride in for their devotion and efficiency in Sulaco?,A sort of universal factotum,A young woman named Molly Ludwig Hayes,Representatives gathered in the city of Paris,The family of General Irving
13,-67.5,8705.flac,323.flac,596.flac,2709.flac,noise_232.flac,noise_20.flac,0.4356250604719273,0.0010524177401695,0.0060620864572837,0.0025503038132078,3.828678417873258e-05,4.118561148643494e-05,17,What is an example of a collective idea mentioned?,An army,A waterfall,A dinner,A campaign
14,-22.5,6082.flac,7945.flac,4071.flac,2194.flac,noise_244.flac,noise_9.flac,0.0036315558792091,0.1331635498250602,0.0011084882996956,0.005508885811341,2.524788133838835e-05,3.1365123305780193e-05,13,What was Tony struggling to balance at the beginning of the passage?,The chafing dish,A bunch of keys,A technician's equipment,A rustling gown
15,22.5,4057.flac,2815.flac,3032.flac,1031.flac,noise_531.flac,noise_462.flac,0.0034327843723061,0.0019054664012258,0.0877526332025219,0.0012299654970915,8.937629482437236e-05,0.0001091897733043,12,In what year was Kepler born?,1571,1971,1671,1871
16,67.5,175.flac,512.flac,1678.flac,4243.flac,noise_689.flac,noise_171.flac,0.0028018906240118,0.0022605568349827,0.0012422118251988,0.2050712973014298,7.903991744387895e-05,9.67071539683578e-06,16,Who were Chris and Amos uninterested in during the blistering noon?,The Emperor of China,Jerry Barker,Sam Clark,Margaret
17,-67.5,1641.flac,1649.flac,7398.flac,7828.flac,noise_299.flac,noise_65.flac,0.4105570028443977,0.0034266743212783,0.0057880578784039,0.0043723609843601,0.0001152149564819,3.7091828814785305e-05,16,Which metaphor is used to describe a wave?,Like an icy wave,Like a shadowy form,Like a sign painter,Like a theoretical conclusion
18,-22.5,667.flac,1165.flac,5604.flac,5606.flac,noise_401.flac,noise_521.flac,0.0047509006469976,0.764472535165182,0.0057984537562297,0.0028616123235881,0.0008681769229782,9.589600858550208e-05,19,What natural phenomena provided light as the boat drifted on?,The Aurora and the low Moon,The district town's streetlights,The bonfire in front of the old Palace,The brilliantly varnished door's reflection
